fips,county,state_name,state_abbr,svi,risk,ml_risk
06099,Stanislaus County,California,CA,0.8511,0.2553,0.0
06101,Sutter County,California,CA,0.8641,0.2592,0.0
06103,Tehama County,California,CA,0.9271,0.2781,0.0
06105,Trinity County,California,CA,0.7206,0.2162,0.0
06107,Tulare County,California,CA,0.9147,0.2744,0.0
06109,Tuolumne County,California,CA,0.6319,0.1896,0.0
06111,Ventura County,California,CA,0.6249,0.1875,0.0
06113,Yolo County,California,CA,0.7366,0.221,0.0
06115,Yuba County,California,CA,0.9268,0.278,0.0
08001,Adams County,Colorado,CO,0.7264,0.2179,0.0
08003,Alamosa County,Colorado,CO,0.8253,0.2476,0.0
08005,Arapahoe County,Colorado,CO,0.4661,0.1398,0.0
08007,Archuleta County,Colorado,CO,0.3484,0.1045,0.0
08009,Baca County,Colorado,CO,0.5472,0.1642,0.0
08011,Bent County,Colorado,CO,0.8804,0.2641,0.0
08013,Boulder County,Colorado,CO,0.209,0.0627,0.0
08014,Broomfield County,Colorado,CO,0.0436,0.0131,0.0
08015,Chaffee County,Colorado,CO,0.6096,0.1829,0.0
08017,Cheyenne County,Colorado,CO,0.0837,0.0251,0.0
08019,Clear Creek County,Colorado,CO,0.1394,0.0418,0.0
08021,Conejos County,Colorado,CO,0.8377,0.2513,0.0
08023,Costilla County,Colorado,CO,0.8727,0.2618,0.0
08025,Crowley County,Colorado,CO,0.86,0.258,0.0
08027,Custer County,Colorado,CO,0.1012,0.0304,0.0
08029,Delta County,Colorado,CO,0.581,0.1743,0.0
08031,Denver County,Colorado,CO,0.5603,0.1681,0.0
08033,Dolores County,Colorado,CO,0.1858,0.0557,0.0
08035,Douglas County,Colorado,CO,0.022,0.0066,0.0
08037,Eagle County,Colorado,CO,0.3497,0.1049,0.0
08039,Elbert County,Colorado,CO,0.0006,0.0002,0.0
08041,El Paso County,Colorado,CO,0.4604,0.1381,0.0
08043,Fremont County,Colorado,CO,0.6688,0.2006,0.0
08045,Garfield County,Colorado,CO,0.6058,0.1817,0.0
08047,Gilpin County,Colorado,CO,0.0967,0.029,0.0
08049,Grand County,Colorado,CO,0.1565,0.047,0.0
08051,Gunnison County,Colorado,CO,0.1222,0.0367,0.0
08053,Hinsdale County,Colorado,CO,0.0869,0.0261,0.0
08055,Huerfano County,Colorado,CO,0.5383,0.1615,0.0
08057,Jackson County,Colorado,CO,0.3751,0.1125,0.0
08059,Jefferson County,Colorado,CO,0.0948,0.0284,0.0
08061,Kiowa County,Colorado,CO,0.3312,0.0994,0.0
